Bait	Prey	Abundance	Z	S	D	WD	WDv2
EBOV_VP35	P06733	17.8333333333333	-0.517493246517706	4.22295315310664	4.22295315310664	4.22295315310664	4.22295315310664
EBOV_VP35	P06748	12.1666666666667	1.09413821077806	4.27200187265877	11.7722528642567	13.4106788872236	5.76227490909987
EBOV_VP35	P07195	2	-0.266652445582121	1.4142135623731	1.4142135623731	1.4142135623731	1.4142135623731
EBOV_VP35	P07305	3.83333333333333	1.24936838449471	3.39116499156263	52.8630305601183	65.8079812227973	6.67230598297823
EBOV_VP35	P07437	6.83333333333333	-0.457798368381217	2.61406452355969	2.61406452355969	2.61406452355969	2.61406452355969
EBOV_VP35	P07737	2.33333333333333	1.38086192684748	1.52752523165195	1.52752523165195	1.52752523165195	1.52752523165195
EBOV_VP35	P07814	3.33333333333333	1.05800675041111	2.23606797749979	6.16187877193312	6.21441430533403	2.67019767809764
EBOV_VP35	P07910	13	1.41864812477973	6.2449979983984	97.3498844375277	121.380690602222	12.306852346394
EBOV_VP35	P08238	1.25	-0.690711166215671	1.11803398874989	1.11803398874989	1.11803398874989	1.11803398874989
EBOV_VP35	P08579	3	1.23781163478116	2.12132034355964	5.84567147554496	5.84567147554496	2.5117569627638
EBOV_VP35	P08621	1.5	0.571547606649408	1.73205080756888	9.79795897113271	10.3386084721122	2.439586741425
EBOV_VP35	P08708	16.8333333333333	1.66398093937429	4.10284454169706	4.10284454169706	4.10284454169706	4.10284454169706
EBOV_VP35	P08865	13.6666666666667	1.99534043411957	3.69684550213647	3.69684550213647	3.69684550213647	3.69684550213647
EBOV_VP35	P09234	1.75	1.0820178506928	1.44913767461894	1.90494094396651	1.90494094396651	1.51671841207315
EBOV_VP35	P09429	14.8333333333333	0.102093718135599	3.85140666943045	3.85140666943045	3.85140666943045	3.85140666943045
EBOV_VP35	P09651	6.16666666666667	1.43513982881354	2.48327740429189	2.48327740429189	2.48327740429189	2.48327740429189
EBOV_VP35	P09661	3.16666666666667	1.34874744480803	2.51661147842358	14.2361043360417	15.1790339838161	3.58177506716161
EBOV_VP35	P09874	31.1666666666667	-0.318072200542135	5.58271140814808	5.58271140814808	5.58271140814808	5.58271140814808
EBOV_VP35	P0DPB5	2	0.861990076397275	1.4142135623731	1.4142135623731	1.4142135623731	1.4142135623731
EBOV_VP35	P10412	1	0.563991334176588	1.22474487139159	1.22474487139159	1.22474487139159	1.22474487139159
EBOV_VP35	P10599	20	-0.825232052435089	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958
EBOV_VP35	P10809	16.5	0.50852570897639	4.06201920231798	4.06201920231798	4.06201920231798	4.06201920231798
EBOV_VP35	P11021	28	0.861078665787115	5.29150262212918	5.29150262212918	5.29150262212918	5.29150262212918
