Vector FU000385	Vector FU000387	GFP FU000389	GFP FU000391	EBOV_VP35 FU000393	EBOV_VP35 FU000395	MARV_VP35 FU000397	MARV_VP35 FU000399	MARV_VP24 FU000401	MARV_VP24 FU000403	MARV_VP40 FU000405	MARV_VP40 FU000407	MARV_VP40 FU000409	MARV_VP40 FU000411	MARV_VP24 FU000413	MARV_VP24 FU000415	MARV_VP35 FU000417	MARV_VP35 FU000419	EBOV_VP35 FU000423	EBOV_VP35 FU000425	GFP FU000427	GFP FU000429	Vector FU000431	Vector FU000433	Vector FU000435	EBOV_VP35 FU000437	MARV_VP24 FU000439	GFP FU000441	MARV_VP40 FU000443	MARV_VP35 FU000445	Vector FU000447	MARV_VP24 FU000449	EBOV_VP35 FU000451	MARV_VP40 FU000453	MARV_VP35 FU000455	GFP FU000457
MARV_VP24 FU000413	0.855803949564895	0.853171290031175	0.858687078150388	0.872595118930702	0.602298524153302	0.577468728454904	0.671390828468931	0.650108258867141	0.933458504117505	0.90712534329068	0.861035475848888	0.868169014419452	0.856542910581791	0.874820702013354	1	0.946656100985171	0.646204183391458	0.678125300901408	0.572117179754556	0.645166737597816	0.867502314233894	0.885801284344622	0.890843768971808	0.912427753210868	0.889241562876859	0.617505240251481	0.978129622268928	0.876852765146538	0.930984261845916	0.651052036359013	0.879970003208031	0.953474202651508	0.599149191514661	0.950881730681388	0.636608929521454	0.911303402047374
MARV_VP24 FU000415	0.919122966326274	0.923439164960181	0.923170890100551	0.932829767959747	0.62284925202728	0.611433434839731	0.712508615716334	0.690334956671834	0.956840238434244	0.967359006556984	0.92829766282315	0.927944255807515	0.933263482364233	0.941619058608366	0.946656100985171	1	0.692958530640365	0.712565196702851	0.592465584798074	0.617157897833765	0.935136906480357	0.945851634825477	0.944813413367936	0.948276190592917	0.938487377614436	0.644566121613515	0.923084712498913	0.932270890483402	0.840345907326667	0.692983446502812	0.936416369551799	0.976245209637117	0.632957233153798	0.893503042016781	0.666877964178963	0.935622370665975
MARV_VP35 FU000417	0.72428998793154	0.728270639560092	0.718723956155898	0.725950852911167	0.916531610057586	0.915342610220007	0.975740389050083	0.972751744681701	0.669717175645324	0.698009772602034	0.726767877773047	0.719282390864343	0.733264344313545	0.734765604138085	0.646204183391458	0.692958530640365	1	0.982413698385144	0.914025367160534	0.886923862160564	0.736731156208669	0.732933060715029	0.730973645794786	0.727843769322327	0.728440623243921	0.918974750864197	0.63867769463016	0.722220029264455	0.613836970063122	0.973513187650848	0.729231481981941	0.682424705292506	0.928971581533106	0.661280661181769	0.967774550300868	0.712950097858038
MARV_VP35 FU000419	0.741333211403979	0.743538170224922	0.729863280462267	0.738415283698887	0.919590228415648	0.911909974143691	0.97694523525744	0.974715817995522	0.691879348479005	0.714131418350583	0.740375193880084	0.734700593804109	0.743639796026476	0.744441617477342	0.678125300901408	0.712565196702851	0.982413698385144	1	0.914460706170403	0.902074753590797	0.745932238571307	0.745632595132958	0.748985512379841	0.752487909357659	0.748218196708177	0.920790212577748	0.675635078902306	0.737072583056379	0.656646540534129	0.977849459148499	0.747740507115066	0.707383709033537	0.92835721203378	0.700474181866018	0.971435919544672	0.738147109022132
EBOV_VP35 FU000423	0.606998728246207	0.606058803025644	0.615161259368944	0.617169501750576	0.973279262803641	0.964272921465369	0.901607414258728	0.911116639328694	0.584371883487546	0.600919747450615	0.604956356542447	0.599969647654279	0.603381800281972	0.610323910614003	0.572117179754556	0.592465584798074	0.914025367160534	0.914460706170403	1	0.963079383501859	0.63036698263986	0.625172607012626	0.607699436470468	0.618283744902667	0.609061412373113	0.972033994804746	0.574772848768676	0.623486566644324	0.546547538159489	0.908198334725244	0.608483415443247	0.592785465213238	0.969392365271741	0.581326104266729	0.916583326635386	0.620939670009024
EBOV_VP35 FU000425	0.614870538462481	0.609263510342781	0.616142315658639	0.622823653881263	0.957635356078245	0.93869027571339	0.885097251201419	0.891186823992207	0.614328143169779	0.608982804735252	0.606175879548203	0.609472933304555	0.602125697406159	0.6152844838231	0.645166737597816	0.617157897833765	0.886923862160564	0.902074753590797	0.963079383501859	1	0.631312927528483	0.631950303869349	0.625231892762658	0.647135447141837	0.624383978702858	0.953597936194385	0.654262961011337	0.629069918625774	0.646633156533814	0.888016558436639	0.620311157779522	0.625963066300972	0.943094236279289	0.663327972693809	0.902158212375232	0.651173357583761
GFP FU000427	0.953893804354228	0.95693840451246	0.959718956897921	0.966153031935386	0.660826160460806	0.654942878891361	0.751499409894046	0.731288694352438	0.901575188861811	0.934908058951988	0.959790695457665	0.956440717867652	0.968033234645668	0.975203730949792	0.867502314233894	0.935136906480357	0.736731156208669	0.745932238571307	0.63036698263986	0.631312927528483	1	0.984589001726696	0.972016655958579	0.967436630599518	0.961663730622415	0.681707362322421	0.85474261250281	0.966941859120535	0.805800108153879	0.732626195016641	0.962923570114493	0.918719964978371	0.673108857046872	0.875143773800012	0.703896873618109	0.94971514238729
GFP FU000429	0.962723519098229	0.965559906152076	0.969863406146668	0.977821224793386	0.659252095193872	0.652573254230044	0.75246884854041	0.730905437576284	0.918860844945638	0.945023397603234	0.970901874875292	0.968339124140588	0.975646664398076	0.980434492710759	0.885801284344622	0.945851634825477	0.732933060715029	0.745632595132958	0.625172607012626	0.631950303869349	0.984589001726696	1	0.980311645365056	0.978135427065322	0.974083543577412	0.681365747178731	0.876148040823738	0.976043198414688	0.831322703488179	0.734609808856902	0.973221867481538	0.934939456344265	0.670892849457449	0.896406735799457	0.705171801585376	0.964975218427884
Vector FU000431	0.966124298347415	0.972509723489798	0.952804233895064	0.966386194644995	0.644764776915856	0.634900396410514	0.750282084516756	0.724269830060774	0.903809785485896	0.93118329682248	0.973428157837643	0.970770256650944	0.982380386343128	0.984325318612514	0.890843768971808	0.944813413367936	0.730973645794786	0.748985512379841	0.607699436470468	0.625231892762658	0.972016655958579	0.980311645365056	1	0.987393527907994	0.984075960563218	0.664825908291395	0.875741643351588	0.956162764958815	0.84925893771457	0.731202806902381	0.980971687254804	0.930494331422243	0.654957536428158	0.910084761499773	0.69575068226329	0.958340068092109
Vector FU000433	0.964162168361042	0.967047055633075	0.953156546943015	0.964170787187887	0.655183284005185	0.641900591476862	0.75333391410896	0.727932816872049	0.918274664025393	0.934406790553484	0.968700832893379	0.968505543402786	0.972499082206592	0.97623699665037	0.912427753210868	0.948276190592917	0.727843769322327	0.752487909357659	0.618283744902667	0.647135447141837	0.967436630599518	0.978135427065322	0.987393527907994	1	0.982928085123932	0.676856463020923	0.903175358234138	0.961956568573511	0.880324447090329	0.735001590867258	0.978523167143728	0.942829650780041	0.665152081751003	0.934487563344102	0.704429065805632	0.968419969990325
